,Gender,Has a car,Has a property,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a work phone,Has a phone,Has an email,Family member count,Account age,status
57,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,8.0,0
58,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,19.0,0
59,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,25.0,0
60,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15761,3173,0,0,0,4.0,18.0,0
62,F,N,Y,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,16212,7099,0,0,0,3.0,24.0,0
63,F,N,Y,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,16212,7099,0,0,0,3.0,20.0,0
64,M,Y,Y,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16670,5364,0,1,0,2.0,10.0,0
66,F,N,Y,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,0,0,1,4.0,21.0,0
67,F,N,Y,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,0,0,1,4.0,45.0,1
68,F,N,Y,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,0,0,1,4.0,39.0,1
69,F,N,Y,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,0,0,1,4.0,43.0,1
70,F,N,Y,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,0,0,1,4.0,7.0,0
71,F,N,Y,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,0,0,1,4.0,43.0,1
72,F,N,Y,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,0,0,1,4.0,21.0,0
73,F,N,Y,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,0,0,1,4.0,10.0,0
74,F,N,Y,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,0,0,1,4.0,19.0,0
75,F,N,Y,126000.0,Commercial associate,Higher education,Married,House / apartment,12411,1773,0,0,1,4.0,45.0,1
77,F,N,Y,247500.0,Commercial associate,Higher education,Separated,Rented apartment,17016,1347,0,0,0,1.0,11.0,0
78,F,N,Y,247500.0,Commercial associate,Higher education,Separated,Rented apartment,17016,1347,0,0,0,1.0,4.0,0
79,F,N,Y,247500.0,Commercial associate,Higher education,Separated,Rented apartment,17016,1347,0,0,0,1.0,48.0,1
80,F,N,Y,247500.0,Commercial associate,Higher education,Separated,Rented apartment,17016,1347,0,0,0,1.0,25.0,0
81,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,7.0,0
82,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,37.0,1
83,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,36.0,1
84,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,36.0,1
85,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,34.0,1
86,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,34.0,1
87,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,32.0,1
88,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,31.0,1
89,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,30.0,1
90,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,29.0,0
91,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,27.0,0
92,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,27.0,0
93,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,27.0,0
94,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,26.0,0
95,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,25.0,0
96,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,24.0,0
97,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,23.0,0
98,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,22.0,0
99,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,22.0,0
100,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,21.0,0
101,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,21.0,0
102,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,20.0,0
103,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,19.0,0
104,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,18.0,0
105,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,18.0,0
106,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,17.0,0
107,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,17.0,0
108,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,16.0,0
109,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,15.0,0
110,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,15.0,0
111,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,13.0,0
112,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,13.0,0
113,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,12.0,0
114,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,12.0,0
115,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,12.0,0
116,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,11.0,0
117,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,9.0,0
118,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,9.0,0
119,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,7.0,0
120,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,6.0,0
121,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,5.0,0
122,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,5.0,0
123,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,5.0,0
124,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,4.0,0
125,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,4.0,0
126,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,3.0,0
127,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,1.0,0
128,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,1.0,0
129,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,0.0,0
130,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,1.0,0
131,F,N,Y,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,1.0,7.0,0
135,F,N,N,157500.0,Commercial associate,Higher education,Married,House / apartment,13642,4846,0,1,0,2.0,43.0,1
136,F,N,N,157500.0,Commercial associate,Higher education,Married,House / apartment,13642,4846,0,1,0,2.0,14.0,0
137,F,N,N,157500.0,Commercial associate,Higher education,Married,House / apartment,13642,4846,0,1,0,2.0,23.0,0
138,F,N,N,157500.0,Commercial associate,Higher education,Married,House / apartment,13642,4846,0,1,0,2.0,30.0,1
139,F,N,N,157500.0,Commercial associate,Higher education,Married,House / apartment,13642,4846,0,1,0,2.0,48.0,1
140,M,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15484,1408,1,1,0,2.0,12.0,0
141,M,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15484,1408,1,1,0,2.0,17.0,0
142,M,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15484,1408,1,1,0,2.0,0.0,0
143,M,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,15484,1408,1,1,0,2.0,12.0,0
148,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,17785,1712,0,0,0,2.0,4.0,0
149,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,17785,1712,0,0,0,2.0,39.0,1
150,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,17785,1712,0,0,0,2.0,51.0,1
151,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,17785,1712,0,0,0,2.0,3.0,0
152,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,17785,1712,0,0,0,2.0,15.0,0
153,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,17785,1712,0,0,0,2.0,28.0,0
154,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,17785,1712,0,0,0,2.0,26.0,0
155,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,17785,1712,0,0,0,2.0,38.0,1
167,M,Y,Y,112500.0,State servant,Secondary / secondary special,Married,House / apartment,20874,2381,0,1,0,2.0,10.0,0
168,M,Y,Y,112500.0,State servant,Secondary / secondary special,Married,House / apartment,20874,2381,0,1,0,2.0,58.0,1
169,M,Y,Y,112500.0,State servant,Secondary / secondary special,Married,House / apartment,20874,2381,0,1,0,2.0,58.0,1
170,M,Y,Y,112500.0,State servant,Secondary / secondary special,Married,House / apartment,20874,2381,0,1,0,2.0,10.0,0
171,M,Y,Y,112500.0,State servant,Secondary / secondary special,Married,House / apartment,20874,2381,0,1,0,2.0,10.0,0
172,M,Y,Y,112500.0,State servant,Secondary / secondary special,Married,House / apartment,20874,2381,0,1,0,2.0,16.0,0
174,F,Y,Y,270000.0,Working,Secondary / secondary special,Separated,House / apartment,16582,1194,1,1,0,1.0,30.0,1
175,F,Y,Y,270000.0,Working,Secondary / secondary special,Separated,House / apartment,16582,1194,1,1,0,1.0,6.0,0
176,F,Y,Y,270000.0,Working,Secondary / secondary special,Separated,House / apartment,16582,1194,1,1,0,1.0,17.0,0
177,F,Y,Y,270000.0,Working,Secondary / secondary special,Separated,House / apartment,16582,1194,1,1,0,1.0,19.0,0
178,F,Y,Y,270000.0,Working,Secondary / secondary special,Separated,House / apartment,16582,1194,1,1,0,1.0,28.0,0
179,F,Y,Y,270000.0,Working,Secondary / secondary special,Separated,House / apartment,16582,1194,1,1,0,1.0,21.0,0
181,F,Y,Y,270000.0,Working,Higher education,Married,House / apartment,10628,828,0,0,1,2.0,4.0,0
182,F,Y,Y,270000.0,Working,Higher education,Married,House / apartment,10628,828,0,0,1,2.0,24.0,0
183,M,Y,Y,157500.0,Working,Secondary / secondary special,Married,House / apartment,9927,828,0,0,0,2.0,22.0,0
185,M,N,Y,166500.0,Working,Secondary / secondary special,Married,House / apartment,18926,6276,1,1,0,2.0,40.0,1
186,M,N,Y,166500.0,Working,Secondary / secondary special,Married,House / apartment,18926,6276,1,1,0,2.0,44.0,1
187,M,N,Y,166500.0,Working,Secondary / secondary special,Married,House / apartment,18926,6276,1,1,0,2.0,35.0,1
188,M,N,Y,166500.0,Working,Secondary / secondary special,Married,House / apartment,18926,6276,1,1,0,2.0,45.0,1
189,M,N,Y,166500.0,Working,Secondary / secondary special,Married,House / apartment,18926,6276,1,1,0,2.0,59.0,1
190,M,N,Y,166500.0,Working,Secondary / secondary special,Married,House / apartment,18926,6276,1,1,0,2.0,9.0,0
191,M,N,Y,166500.0,Working,Secondary / secondary special,Married,House / apartment,18926,6276,1,1,0,2.0,32.0,1
192,M,N,Y,166500.0,Working,Secondary / secondary special,Married,House / apartment,18926,6276,1,1,0,2.0,12.0,0
193,M,N,Y,166500.0,Working,Secondary / secondary special,Married,House / apartment,18926,6276,1,1,0,2.0,5.0,0
194,M,N,Y,166500.0,Working,Secondary / secondary special,Married,House / apartment,18926,6276,1,1,0,2.0,35.0,1
209,F,Y,Y,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,19861,10843,0,0,1,2.0,21.0,0
210,F,Y,Y,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,19861,10843,0,0,1,2.0,40.0,1
211,F,Y,Y,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14450,2777,0,0,0,2.0,17.0,0
212,F,Y,Y,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14450,2777,0,0,0,2.0,15.0,0
213,F,N,Y,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,10554,1194,0,0,0,1.0,13.0,0
214,F,N,Y,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,10554,1194,0,0,0,1.0,13.0,0
222,F,N,Y,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,14326,555,0,0,0,3.0,8.0,0
223,F,N,Y,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,14326,555,0,0,0,3.0,3.0,0
224,F,N,Y,148500.0,Working,Higher education,Married,House / apartment,17641,889,0,0,0,2.0,20.0,0
225,F,N,Y,148500.0,Working,Higher education,Married,House / apartment,17641,889,0,0,0,2.0,20.0,0
226,F,N,Y,148500.0,Working,Higher education,Married,House / apartment,17641,889,0,0,0,2.0,18.0,0
227,F,N,Y,148500.0,Working,Higher education,Married,House / apartment,17641,889,0,0,0,2.0,17.0,0
228,F,N,Y,148500.0,Working,Higher education,Married,House / apartment,17641,889,0,0,0,2.0,7.0,0
229,F,N,Y,148500.0,Working,Higher education,Married,House / apartment,17641,889,0,0,0,2.0,11.0,0
231,F,N,Y,202500.0,Working,Higher education,Married,House / apartment,10997,2289,0,0,1,4.0,34.0,1
232,F,N,Y,202500.0,Working,Higher education,Married,House / apartment,10997,2289,0,0,1,4.0,56.0,1
233,F,N,Y,202500.0,Working,Higher education,Married,House / apartment,10997,2289,0,0,1,4.0,47.0,1
234,F,N,Y,202500.0,Working,Higher education,Married,House / apartment,10997,2289,0,0,1,4.0,51.0,1
235,F,N,Y,202500.0,Working,Higher education,Married,House / apartment,10997,2289,0,0,1,4.0,55.0,1
236,M,N,Y,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,8861,889,1,0,0,1.0,24.0,0
237,M,N,Y,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,8861,889,1,0,0,1.0,9.0,0
238,F,Y,Y,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,7489,797,0,1,1,1.0,0.0,0
240,M,Y,Y,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10450,2077,0,0,0,2.0,45.0,1
241,M,Y,Y,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10450,2077,0,0,0,2.0,27.0,0
242,M,Y,Y,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10450,2077,0,0,0,2.0,4.0,0
243,M,Y,Y,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10450,2077,0,0,0,2.0,10.0,0
244,M,Y,Y,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10450,2077,0,0,0,2.0,15.0,0
245,M,Y,Y,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10450,2077,0,0,0,2.0,36.0,1
246,M,Y,Y,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10450,2077,0,0,0,2.0,22.0,0
247,M,Y,Y,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10450,2077,0,0,0,2.0,35.0,1
248,M,Y,Y,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10450,2077,0,0,0,2.0,39.0,1
249,F,Y,Y,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,10264,3173,0,1,1,2.0,20.0,0
250,F,Y,Y,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,10264,3173,0,1,1,2.0,43.0,1
252,F,Y,Y,450000.0,State servant,Higher education,Married,House / apartment,17726,708,0,1,1,3.0,22.0,0
253,F,Y,Y,450000.0,State servant,Higher education,Married,House / apartment,17726,708,0,1,1,3.0,28.0,0
254,M,N,Y,180000.0,Working,Secondary / secondary special,Married,With parents,14122,1286,0,0,0,3.0,30.0,1
255,F,N,Y,112500.0,Working,Higher education,Civil marriage,House / apartment,10064,3173,0,0,1,2.0,43.0,1
256,F,N,Y,112500.0,Working,Higher education,Civil marriage,House / apartment,10064,3173,0,0,1,2.0,15.0,0
257,F,N,Y,112500.0,Working,Higher education,Civil marriage,House / apartment,10064,3173,0,0,1,2.0,19.0,0
258,M,N,Y,90000.0,Working,Secondary / secondary special,Married,House / apartment,20531,5730,0,0,0,2.0,51.0,1
259,M,N,Y,90000.0,Working,Secondary / secondary special,Married,House / apartment,20531,5730,0,0,0,2.0,2.0,0
262,M,Y,N,202500.0,Commercial associate,Higher education,Married,House / apartment,14730,2989,0,0,0,4.0,46.0,1
263,M,Y,N,202500.0,Commercial associate,Higher education,Married,House / apartment,14730,2989,0,0,0,4.0,39.0,1
266,M,Y,Y,247500.0,Working,Secondary / secondary special,Married,House / apartment,12628,4025,0,0,0,2.0,13.0,0
267,M,Y,Y,765000.0,Working,Higher education,Married,House / apartment,12197,1194,1,0,0,3.0,3.0,0
268,M,Y,Y,765000.0,Working,Higher education,Married,House / apartment,12197,1194,1,0,0,3.0,3.0,0
269,M,Y,Y,765000.0,Working,Higher education,Married,House / apartment,12197,1194,1,0,0,3.0,3.0,0
271,F,N,Y,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13679,4391,0,0,1,3.0,24.0,0
272,F,N,Y,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13679,4391,0,0,1,3.0,33.0,1
273,F,N,Y,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13679,4391,0,0,1,3.0,17.0,0
274,F,N,Y,315000.0,Working,Higher education,Separated,House / apartment,13271,555,0,0,0,1.0,56.0,1
275,F,N,Y,315000.0,Working,Higher education,Separated,House / apartment,13271,555,0,0,0,1.0,27.0,0
276,M,Y,Y,157500.0,Working,Secondary / secondary special,Married,With parents,12859,4056,0,1,0,4.0,38.0,1
277,M,Y,Y,157500.0,Working,Secondary / secondary special,Married,With parents,12859,4056,0,1,0,4.0,27.0,0
278,M,Y,Y,157500.0,Working,Secondary / secondary special,Married,With parents,12859,4056,0,1,0,4.0,30.0,1
279,M,Y,Y,157500.0,Working,Secondary / secondary special,Married,With parents,12859,4056,0,1,0,4.0,60.0,2
280,M,Y,Y,157500.0,Working,Secondary / secondary special,Married,With parents,12859,4056,0,1,0,4.0,25.0,0
281,M,N,Y,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15321,2747,0,0,0,2.0,7.0,0
282,M,N,Y,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15321,2747,0,0,0,2.0,20.0,0
283,F,N,Y,112500.0,Commercial associate,Higher education,Married,House / apartment,8842,312,0,0,1,2.0,3.0,0
307,F,N,N,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,9657,1560,1,1,0,2.0,33.0,1
308,F,N,N,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,9657,1560,1,1,0,2.0,11.0,0
311,M,Y,N,315000.0,Working,Higher education,Married,House / apartment,15825,3720,1,1,0,2.0,36.0,1
312,M,Y,N,315000.0,Working,Higher education,Married,House / apartment,15825,3720,1,1,0,2.0,36.0,1
313,M,Y,N,315000.0,Working,Higher education,Married,House / apartment,15825,3720,1,1,0,2.0,12.0,0
314,M,Y,N,315000.0,Working,Higher education,Married,House / apartment,15825,3720,1,1,0,2.0,7.0,0
315,M,Y,N,315000.0,Working,Higher education,Married,House / apartment,15825,3720,1,1,0,2.0,17.0,0
318,F,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,19575,2901,0,0,0,2.0,29.0,0
319,F,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,19575,2901,0,0,0,2.0,47.0,1
320,F,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,19575,2901,0,0,0,2.0,53.0,1
