,ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Account age,status
31,5008840,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.0,6.0,1,0,0,0,Managers,3.0,55.0,1
32,5008841,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.0,6.0,1,0,0,0,Managers,3.0,4.0,0
33,5008842,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.0,6.0,1,0,0,0,Managers,3.0,8.0,0
34,5008843,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.0,6.0,1,0,0,0,Managers,3.0,29.0,0
35,5008844,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.0,12.0,1,0,1,0,Drivers,2.0,43.0,1
36,5008846,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.0,12.0,1,0,1,0,Drivers,2.0,11.0,0
37,5008847,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.0,12.0,1,0,1,0,Drivers,2.0,46.0,1
38,5008849,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.0,12.0,1,0,1,0,Drivers,2.0,51.0,1
39,5008850,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.0,12.0,1,0,1,0,Drivers,2.0,25.0,0
40,5008851,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.0,12.0,1,0,1,0,Drivers,2.0,11.0,0
41,5008852,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.0,12.0,1,0,1,0,Drivers,2.0,0.0,0
42,5008853,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.0,12.0,1,0,1,0,Drivers,2.0,39.0,1
46,5008854,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,39.0,1
47,5008855,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,28.0,0
48,5008856,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,3.0,0
49,5008857,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,27.0,0
50,5008858,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,10.0,0
51,5008859,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,4.0,0
52,5008860,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,3.0,0
53,5008861,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,3.0,0
54,5008862,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,2.0,0
55,5008863,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,2.0,0
56,5008864,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,2.0,0
57,5008865,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,8.0,0
58,5008866,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,19.0,0
59,5008867,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,25.0,0
60,5112846,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,1,0,0,0,Laborers,4.0,18.0,0
62,5008868,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.0,19.0,1,0,0,0,Core staff,3.0,24.0,0
63,5008870,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.0,19.0,1,0,0,0,Core staff,3.0,20.0,0
64,5008872,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46.0,15.0,1,0,1,0,Security staff,2.0,10.0,0
66,5008873,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,1,0,0,1,Managers,4.0,21.0,0
67,5008874,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,1,0,0,1,Managers,4.0,45.0,1
68,5008875,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,1,0,0,1,Managers,4.0,39.0,1
69,5008876,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,1,0,0,1,Managers,4.0,43.0,1
70,5008877,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,1,0,0,1,Managers,4.0,7.0,0
71,5008878,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,1,0,0,1,Managers,4.0,43.0,1
72,5008879,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,1,0,0,1,Managers,4.0,21.0,0
73,5008880,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,1,0,0,1,Managers,4.0,10.0,0
74,5008881,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,1,0,0,1,Managers,4.0,19.0,0
75,5008882,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,1,0,0,1,Managers,4.0,45.0,1
77,5008888,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,47.0,4.0,1,0,0,0,Core staff,1.0,11.0,0
78,5008889,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,47.0,4.0,1,0,0,0,Core staff,1.0,4.0,0
79,5008890,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,47.0,4.0,1,0,0,0,Core staff,1.0,48.0,1
80,5112847,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,47.0,4.0,1,0,0,0,Core staff,1.0,25.0,0
81,5008891,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,7.0,0
82,5008892,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,37.0,1
83,5008893,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,36.0,1
84,5008894,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,36.0,1
85,5008895,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,34.0,1
86,5008896,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,34.0,1
87,5008897,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,32.0,1
88,5008898,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,31.0,1
89,5008899,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,30.0,1
90,5008900,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,29.0,0
91,5008901,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,27.0,0
92,5008902,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,27.0,0
93,5008903,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,27.0,0
94,5008904,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,26.0,0
95,5008905,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,25.0,0
96,5008906,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,24.0,0
97,5008907,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,23.0,0
98,5008908,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,22.0,0
99,5008909,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,22.0,0
100,5008910,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,21.0,0
101,5008911,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,21.0,0
102,5008912,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,20.0,0
103,5008913,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,19.0,0
104,5008914,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,18.0,0
105,5008915,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,18.0,0
106,5008916,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,17.0,0
107,5008917,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,17.0,0
108,5008918,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,16.0,0
109,5008919,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,15.0,0
110,5008920,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,15.0,0
111,5008921,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,13.0,0
112,5008922,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,13.0,0
113,5008923,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,12.0,0
114,5008924,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,12.0,0
115,5008925,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,12.0,0
116,5008926,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,11.0,0
117,5008927,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,9.0,0
118,5008928,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,9.0,0
119,5008929,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,7.0,0
120,5008930,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,6.0,0
121,5008931,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,5.0,0
122,5008932,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,5.0,0
123,5008933,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,5.0,0
124,5008934,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,4.0,0
125,5008935,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,4.0,0
126,5008936,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,3.0,0
127,5008937,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,1.0,0
128,5008938,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,1.0,0
129,5008939,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,0.0,0
130,5008940,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,1.0,0
131,5008941,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.0,9.0,1,0,0,0,Laborers,1.0,7.0,0
135,5008942,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.0,13.0,1,0,1,0,High skill tech staff,2.0,43.0,1
136,5008943,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.0,13.0,1,0,1,0,High skill tech staff,2.0,14.0,0
137,5008944,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.0,13.0,1,0,1,0,High skill tech staff,2.0,23.0,0
138,5008945,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.0,13.0,1,0,1,0,High skill tech staff,2.0,30.0,1
139,5008946,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.0,13.0,1,0,1,0,High skill tech staff,2.0,48.0,1
140,5008947,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,4.0,1,1,1,0,Drivers,2.0,12.0,0
141,5008948,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,4.0,1,1,1,0,Drivers,2.0,17.0,0
142,5008949,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,4.0,1,1,1,0,Drivers,2.0,0.0,0
143,5008950,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,4.0,1,1,1,0,Drivers,2.0,12.0,0
148,5008955,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,1,0,0,0,Laborers,2.0,4.0,0
149,5008956,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,1,0,0,0,Laborers,2.0,39.0,1
150,5008957,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,1,0,0,0,Laborers,2.0,51.0,1
151,5008958,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,1,0,0,0,Laborers,2.0,3.0,0
152,5008959,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,1,0,0,0,Laborers,2.0,15.0,0
153,5008960,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,1,0,0,0,Laborers,2.0,28.0,0
154,5008962,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,1,0,0,0,Laborers,2.0,26.0,0
155,5008963,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,1,0,0,0,Laborers,2.0,38.0,1
167,5008981,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.0,7.0,1,0,1,0,Drivers,2.0,10.0,0
168,5008983,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.0,7.0,1,0,1,0,Drivers,2.0,58.0,1
169,5008984,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.0,7.0,1,0,1,0,Drivers,2.0,58.0,1
170,5008986,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.0,7.0,1,0,1,0,Drivers,2.0,10.0,0
171,5008987,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.0,7.0,1,0,1,0,Drivers,2.0,10.0,0
172,5008988,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.0,7.0,1,0,1,0,Drivers,2.0,16.0,0
174,5008991,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,1,1,0,Cleaning staff,1.0,30.0,1
175,5008992,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,1,1,0,Cleaning staff,1.0,6.0,0
176,5008993,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,1,1,0,Cleaning staff,1.0,17.0,0
177,5008994,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,1,1,0,Cleaning staff,1.0,19.0,0
178,5008995,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,1,1,0,Cleaning staff,1.0,28.0,0
179,5112861,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,1,1,0,Cleaning staff,1.0,21.0,0
181,5008998,F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,29.0,2.0,1,0,0,1,Managers,2.0,4.0,0
182,5008999,F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,29.0,2.0,1,0,0,1,Managers,2.0,24.0,0
183,5009000,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,2.0,1,0,0,0,Drivers,2.0,22.0,0
185,5009001,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,1,1,1,0,Laborers,2.0,40.0,1
186,5009002,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,1,1,1,0,Laborers,2.0,44.0,1
187,5009005,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,1,1,1,0,Laborers,2.0,35.0,1
188,5009006,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,1,1,1,0,Laborers,2.0,45.0,1
189,5009007,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,1,1,1,0,Laborers,2.0,59.0,1
190,5009008,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,1,1,1,0,Laborers,2.0,9.0,0
191,5009009,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,1,1,1,0,Laborers,2.0,32.0,1
192,5009010,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,1,1,1,0,Laborers,2.0,12.0,0
193,5009012,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,1,1,1,0,Laborers,2.0,5.0,0
194,5009014,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,1,1,1,0,Laborers,2.0,35.0,1
209,5009027,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,30.0,1,0,0,1,Laborers,2.0,21.0,0
210,5112862,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,30.0,1,0,0,1,Laborers,2.0,40.0,1
211,5009028,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,8.0,1,0,0,0,Laborers,2.0,17.0,0
212,5009029,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,8.0,1,0,0,0,Laborers,2.0,15.0,0
213,5009031,F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,29.0,3.0,1,0,0,0,Accountants,1.0,13.0,0
214,5009032,F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,29.0,3.0,1,0,0,0,Accountants,1.0,13.0,0
222,5009039,F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39.0,2.0,1,0,0,0,Core staff,3.0,8.0,0
223,5009040,F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39.0,2.0,1,0,0,0,Core staff,3.0,3.0,0
224,5009042,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.0,2.0,1,0,0,0,Core staff,2.0,20.0,0
225,5009043,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.0,2.0,1,0,0,0,Core staff,2.0,20.0,0
226,5009044,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.0,2.0,1,0,0,0,Core staff,2.0,18.0,0
227,5009045,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.0,2.0,1,0,0,0,Core staff,2.0,17.0,0
228,5009046,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.0,2.0,1,0,0,0,Core staff,2.0,7.0,0
229,5009047,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.0,2.0,1,0,0,0,Core staff,2.0,11.0,0
231,5009050,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.0,6.0,1,0,0,1,Core staff,4.0,34.0,1
232,5009051,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.0,6.0,1,0,0,1,Core staff,4.0,56.0,1
233,5009052,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.0,6.0,1,0,0,1,Core staff,4.0,47.0,1
234,5009053,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.0,6.0,1,0,0,1,Core staff,4.0,51.0,1
235,5009055,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.0,6.0,1,0,0,1,Core staff,4.0,55.0,1
236,5009056,M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,24.0,2.0,1,1,0,0,Drivers,1.0,24.0,0
237,5009057,M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,24.0,2.0,1,1,0,0,Drivers,1.0,9.0,0
238,5009058,F,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,21.0,2.0,1,0,1,1,Private service staff,1.0,0.0,0
